board_id,active,from_parametercode,from_hoedanigheid,from_limietsymbool,from_eenheid,to_parametercode,to_hoedanigheid,to_limietsymbool,to_eenheid,support_rows,method
rivierenland,true,cl,nvt,<,ug/l,propmcbhcl,nvt,<,ug/l,418,summary_equal_count_minmax_unique
rivierenland,true,4629,nvt,<,ug/l,s2425dclfol,nvt,<,ug/l,415,summary_equal_count_minmax_unique
rivierenland,true,4314,nvt,<,ug/l,clbmrn,nvt,<,ug/l,411,summary_equal_count_minmax_unique
rivierenland,true,4230,nvt,<,ug/l,246tc1yfol,nvt,<,ug/l,408,summary_equal_count_minmax_unique
rivierenland,true,4669,nvt,"",ug/l,terc4yazne,nvt,"",ug/l,401,summary_equal_count_minmax_unique
rivierenland,true,1200,nvt,<,mg/l,minrlole,nvt,<,mg/l,393,summary_equal_count_minmax_unique
rivierenland,true,4657,nvt,<,ug/l,spirdcfn,nvt,<,ug/l,393,summary_equal_count_minmax_unique
rivierenland,true,4222,nvt,<,ug/l,236tclfol,nvt,<,ug/l,390,summary_equal_count_minmax_unique
rivierenland,true,4406,nvt,<,ug/l,dtann,nvt,<,ug/l,370,summary_equal_count_minmax_unique
rivierenland,true,4339,nvt,<,ug/l,cloprld,nvt,<,ug/l,369,summary_equal_count_minmax_unique
rivierenland,true,4113,nvt,"",ug/l,chr,nvt,"",ug/l,364,summary_equal_count_minmax_unique
rivierenland,true,4284,nvt,"",ug/l,bentzn,nvt,"",ug/l,362,summary_equal_count_minmax_unique
rivierenland,true,4294,nvt,<,ug/l,boscld,nvt,<,ug/l,362,summary_equal_count_minmax_unique
rivierenland,true,4021,nvt,<,ug/l,pcb138,nvt,<,ug/l,361,summary_equal_count_minmax_unique
rivierenland,true,4434,nvt,<,ug/l,fenamfs,nvt,<,ug/l,358,summary_equal_count_minmax_unique
rivierenland,true,4110,nvt,"",ug/l,bbf,nvt,"",ug/l,357,summary_equal_count_minmax_unique
rivierenland,true,4105,nvt,"",ug/l,acne,nvt,"",ug/l,352,summary_equal_count_minmax_unique
rivierenland,true,4025,nvt,<,ug/l,pcb118,nvt,<,ug/l,350,summary_equal_count_minmax_unique
rivierenland,true,4114,nvt,"",ug/l,inp,nvt,"",ug/l,348,summary_equal_count_minmax_unique
rivierenland,true,4026,nvt,<,ug/l,pcb28,nvt,<,ug/l,346,summary_equal_count_minmax_unique
rivierenland,true,4585,nvt,<,ug/l,pencnzl,nvt,<,ug/l,346,summary_equal_count_minmax_unique
rivierenland,true,4539,nvt,"",ug/l,mzcl,nvt,"",ug/l,341,summary_equal_count_minmax_unique
rivierenland,true,4020,nvt,<,ug/l,pcb180,nvt,<,ug/l,340,summary_equal_count_minmax_unique
rivierenland,true,4358,nvt,<,ug/l,demtns,nvt,<,ug/l,338,summary_equal_count_minmax_unique
rivierenland,true,4023,nvt,<,ug/l,pcb101,nvt,<,ug/l,336,summary_equal_count_minmax_unique
rivierenland,true,4112,nvt,"",ug/l,bkf,nvt,"",ug/l,333,summary_equal_count_minmax_unique
rivierenland,true,4411,nvt,<,ug/l,epxcnzl,nvt,<,ug/l,331,summary_equal_count_minmax_unique
rivierenland,true,4024,nvt,<,ug/l,pcb52,nvt,<,ug/l,327,summary_equal_count_minmax_unique
rivierenland,true,4364,nvt,<,ug/l,desmdfm,nvt,<,ug/l,327,summary_equal_count_minmax_unique
rivierenland,true,4516,nvt,<,ug/l,ioaftl,nvt,<,ug/l,327,summary_equal_count_minmax_unique
rivierenland,true,4111,nvt,"",ug/l,bghipe,nvt,"",ug/l,321,summary_equal_count_minmax_unique
rivierenland,true,4514,nvt,"",ug/l,iptrn,nvt,"",ug/l,321,summary_equal_count_minmax_unique
rivierenland,true,4607,nvt,<,ug/l,propcnzl,nvt,<,ug/l,321,summary_equal_count_minmax_unique
rivierenland,true,4387,nvt,<,ug/l,dfnxrn,nvt,<,ug/l,319,summary_equal_count_minmax_unique
rivierenland,true,4584,nvt,<,ug/l,pacbtzl,nvt,<,ug/l,319,summary_equal_count_minmax_unique
rivierenland,true,4467,nvt,<,ug/l,flumoxzn,nvt,<,ug/l,318,summary_equal_count_minmax_unique
rivierenland,true,4108,nvt,"",ug/l,baa,nvt,"",ug/l,317,summary_equal_count_minmax_unique
rivierenland,true,4527,nvt,<,ug/l,lencl,nvt,<,ug/l,315,summary_equal_count_minmax_unique
rivierenland,true,4117,nvt,<,ug/l,spak16,nvt,<,ug/l,313,summary_equal_count_minmax_unique
rivierenland,true,4309,nvt,<,ug/l,carbtad,nvt,<,ug/l,313,summary_equal_count_minmax_unique
rivierenland,true,4407,nvt,"",ug/l,durn,nvt,"",ug/l,313,summary_equal_count_minmax_unique
rivierenland,true,4047,nvt,<,ug/l,hxclbtden,nvt,<,ug/l,311,summary_equal_count_minmax_unique
rivierenland,true,4666,nvt,<,ug/l,teplxdm,nvt,<,ug/l,310,summary_equal_count_minmax_unique
rivierenland,true,4426,nvt,<,ug/l,eptc,nvt,<,ug/l,307,summary_equal_count_minmax_unique
rivierenland,true,4661,nvt,<,ug/l,sulftp,nvt,<,ug/l,307,summary_equal_count_minmax_unique
rivierenland,true,4312,nvt,<,ug/l,carftznc2y,nvt,<,ug/l,306,summary_equal_count_minmax_unique
rivierenland,true,4319,nvt,<,ug/l,cloxrn,nvt,<,ug/l,303,summary_equal_count_minmax_unique
rivierenland,true,4534,nvt,"",ug/l,mcpp,nvt,"",ug/l,303,summary_equal_count_minmax_unique
rivierenland,true,4022,nvt,<,ug/l,pcb153,nvt,<,ug/l,302,summary_equal_count_minmax_unique
rivierenland,true,4409,nvt,<,ug/l,dodne,nvt,<,ug/l,301,summary_equal_count_minmax_unique
rivierenland,true,4612,nvt,<,ug/l,prosfrn,nvt,<,ug/l,301,summary_equal_count_minmax_unique
rivierenland,true,4433,nvt,<,ug/l,fenmdn,nvt,<,ug/l,298,summary_equal_count_minmax_unique
rivierenland,true,4116,nvt,<,ug/l,spak10,nvt,<,ug/l,297,summary_equal_count_minmax_unique
rivierenland,true,4642,nvt,<,ug/l,scher,nvt,<,ug/l,296,summary_equal_count_minmax_unique
rivierenland,true,4051,nvt,<,ug/l,shpclepo,nvt,<,ug/l,294,summary_equal_count_minmax_unique
rivierenland,true,4109,nvt,"",ug/l,bap,nvt,"",ug/l,293,summary_equal_count_minmax_unique
rivierenland,true,4295,nvt,<,ug/l,bromcl,nvt,<,ug/l,290,summary_equal_count_minmax_unique
rivierenland,true,4335,nvt,<,ug/l,clodnfppgl,nvt,<,ug/l,290,summary_equal_count_minmax_unique
rivierenland,true,4010,nvt,<,ug/l,pbde138,nvt,<,ug/l,289,summary_equal_count_minmax_unique
rivierenland,true,4041,nvt,<,ug/l,endsfn,nvt,<,ug/l,285,summary_equal_count_minmax_unique
rivierenland,true,4598,nvt,<,ug/l,proclaz,nvt,<,ug/l,283,summary_equal_count_minmax_unique
rivierenland,true,4011,nvt,<,ug/l,pbde183,nvt,<,ug/l,279,summary_equal_count_minmax_unique
rivierenland,true,4662,nvt,"",ug/l,tebcnzl,nvt,"",ug/l,277,summary_equal_count_minmax_unique
rivierenland,true,4642,nvt,"",ug/l,scher,nvt,"",ug/l,274,summary_equal_count_minmax_unique
rivierenland,true,4470,nvt,"",mg/l,f,nvt,"",mg/l,272,summary_equal_count_minmax_unique
rivierenland,true,4282,nvt,"",ug/l,azoxsbn,nvt,"",ug/l,270,summary_equal_count_minmax_unique
rivierenland,true,4477,nvt,<,ug/l,fonfs,nvt,<,ug/l,264,summary_equal_count_minmax_unique
rivierenland,true,4362,nvt,<,ug/l,desc2ytc4yaz,nvt,<,ug/l,261,summary_equal_count_minmax_unique
rivierenland,true,4689,nvt,"",ug/l,tolcfsc1y,nvt,"",ug/l,260,summary_equal_count_minmax_unique
rivierenland,true,4740,nvt,<,ug/l,spirmsfn,nvt,<,ug/l,258,summary_equal_count_minmax_unique
rivierenland,true,4054,nvt,<,ug/l,thpclepo,nvt,<,ug/l,256,summary_equal_count_minmax_unique
rivierenland,true,4258,nvt,<,ug/l,hti,nvt,<,ug/l,253,summary_equal_count_minmax_unique
rivierenland,true,4741,nvt,<,ug/l,spirttmt,nvt,<,ug/l,253,summary_equal_count_minmax_unique
rivierenland,true,4595,nvt,"",ug/l,pirmcb,nvt,"",ug/l,249,summary_equal_count_minmax_unique
rivierenland,true,4380,nvt,<,ug/l,dcfl,nvt,<,ug/l,248,summary_equal_count_minmax_unique
rivierenland,true,4458,nvt,"",ug/l,floncmd,nvt,"",ug/l,248,summary_equal_count_minmax_unique
rivierenland,true,4600,nvt,<,ug/l,profm,nvt,<,ug/l,248,summary_equal_count_minmax_unique
rivierenland,true,4447,nvt,<,ug/l,fenpcnl,nvt,<,ug/l,247,summary_equal_count_minmax_unique
rivierenland,true,4569,nvt,<,ug/l,monrn,nvt,<,ug/l,244,summary_equal_count_minmax_unique
rivierenland,true,4680,nvt,<,ug/l,thifsfrnc1y,nvt,<,ug/l,239,summary_equal_count_minmax_unique
rivierenland,true,4106,nvt,"",ug/l,acny,nvt,"",ug/l,235,summary_equal_count_minmax_unique
rivierenland,true,4270,nvt,<,ug/l,aldcso,nvt,<,ug/l,235,summary_equal_count_minmax_unique
rivierenland,true,4558,nvt,"",ug/l,metlcl,nvt,"",ug/l,232,summary_equal_count_minmax_unique
rivierenland,true,4107,nvt,"",ug/l,ant,nvt,"",ug/l,226,summary_equal_count_minmax_unique
rivierenland,true,4396,nvt,"",ug/l,dmtmf,nvt,"",ug/l,222,summary_equal_count_minmax_unique
rivierenland,true,4484,nvt,<,ug/l,fostazt,nvt,<,ug/l,221,summary_equal_count_minmax_unique
rivierenland,true,4330,nvt,<,ug/l,cfosfmdn,nvt,<,ug/l,217,summary_equal_count_minmax_unique
rivierenland,true,4276,nvt,<,ug/l,ampa,nvt,<,ug/l,216,summary_equal_count_minmax_unique
rivierenland,true,4311,nvt,<,ug/l,carboxn,nvt,<,ug/l,215,summary_equal_count_minmax_unique
rivierenland,true,4385,nvt,"",ug/l,deet,nvt,"",ug/l,215,summary_equal_count_minmax_unique
rivierenland,true,4679,nvt,"",ug/l,thiamtxm,nvt,"",ug/l,210,summary_equal_count_minmax_unique
rivierenland,true,4117,nvt,"",ug/l,spak16,nvt,"",ug/l,208,summary_equal_count_minmax_unique
rivierenland,true,4421,nvt,"",ug/l,etfmst,nvt,"",ug/l,208,summary_equal_count_minmax_unique
rivierenland,true,4289,nvt,<,ug/l,bifnzt,nvt,<,ug/l,205,summary_equal_count_minmax_unique
rivierenland,true,4677,nvt,<,ug/l,tabdzl,nvt,<,ug/l,204,summary_equal_count_minmax_unique
rivierenland,true,4602,nvt,<,ug/l,promtne,nvt,<,ug/l,203,summary_equal_count_minmax_unique
rivierenland,true,4283,nvt,<,ug/l,bendocb,nvt,<,ug/l,200,summary_equal_count_minmax_unique
rivierenland,true,4435,nvt,<,ug/l,fenarml,nvt,<,ug/l,200,summary_equal_count_minmax_unique
rivierenland,true,4044,nvt,"",ug/l,chch,nvt,"",ug/l,199,summary_equal_count_minmax_unique
rivierenland,true,4430,nvt,"",ug/l,etdazl,nvt,"",ug/l,198,summary_equal_count_minmax_unique
